,flags-body,item-title,item-promo,item-features,item-price,price-ship,price-offers
0,Lowest price,"Acer Laptop Aspire 5 Intel Core i7 12th Gen 1255U (1.70GHz) 16GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit A515-57-731E","Eligible for Black Friday Price Protection, See Details","{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.88 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' NX.K3KAA.006', 'Item #': ' N82E16834360185', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(2 Offers)
1,None,"MSI Laptop Intel Core i7 12th Gen 1280P (1.80GHz) 16GB Memory 1TB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Prestige 14Evo A12M-231",None,"{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.60 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' Prestige14EvoA12M231', 'Item #': ' N82E16834156264', 'Return Policy': ' Extended Holiday Return Policy'}",649.00,Free Shipping,(2 Offers)
2,None,"Lenovo IdeaPad Slim 7 Carbon 14"" 2.8K OLED Touchscreen Laptop AMD Ryzen 7-5800U 16GB RAM 512GB SSD Cloud Grey","Eligible for Black Friday Price Protection, See Details","{'Type': ' Home / Personal', 'Resolution': ' 2880 x 1800', 'Bluetooth': ' Yes', 'Webcam': ' Yes', 'Model #': ' 82L10001US', 'Item #': ' 2WC-000J-016G4', 'Return Policy': ' Extended Holiday Return Policy'}",799.99,Free Shipping,None
3,None,"ASUS VivoBook 16X OLED Laptop, 16"" 4K OLED 16:10 Display, AMD Ryzen 7 5800H CPU, AMD Radeon Graphics, 16GB RAM, 512GB SSD, Fingerprint Sensor, Windows 11 Home, Quiet Blue, M1603QA-NS77","Eligible for Black Friday Price Protection, See Details","{'Type': ' Content Creation / Home / Personal', 'Resolution': ' 3840 x 2400', 'Weight': ' 3.70 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' M1603QA-NS77', 'Item #': ' N82E16834236292', 'Return Policy': ' Extended Holiday Return Policy'}",849.99,Free Shipping,None
4,None,"Acer Laptop Aspire 5 Intel Core i5 11th Gen 1135G7 (2.40GHz) 12GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit A514-54-5819 - OEM",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.20 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' NX.A2AAA.001', 'Item #': ' N82E16834360142', 'Return Policy': ' Extended Holiday Return Policy'}",499.99,Free Shipping,(4 Offers)
5,None,"MSI Laptop Modern 15 AMD Ryzen 5 5000 Series 5500U (2.10GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit Modern 15 A5M-287","Eligible for Black Friday Price Protection, See Details","{'Type': ' Work / Business', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.52 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' Modern 15 A5M-287', 'Item #': ' N82E16834156238', 'Return Policy': ' Extended Holiday Return Policy'}",449.00,Free Shipping,(2 Offers)
6,Lowest price,"Acer Laptop Aspire 5 AMD Ryzen 7 5000 Series 5700U (1.80GHz) 16GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit A515-45-R1BF","Eligible for Black Friday Price Protection, See Details","{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 3.88 lbs.', 'Graphics Card': ' AMD Radeon Graphics', 'Model #': ' NX.A82AA.00H', 'Item #': ' N82E16834360112', 'Return Policy': ' Extended Holiday Return Policy'}",549.99,Free Shipping,(10 Offers)
7,None,"ASUS ZenBook 13 Ultra-Slim Laptop, 13.3"" OLED FHD NanoEdge Bezel Display, Intel Core i7-1165G7, 8GB RAM, 512GB SSD, NumberPad, Thunderbolt 4, Wi-Fi 6, Windows 11 Home, Pine Grey, UX325EA-EH71",None,"{'Type': ' Home / Personal', 'Resolution': ' 1920 x 1080', 'Weight': ' 2.51 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' UX325EA-EH71', 'Item #': ' N82E16834236059', 'Return Policy': ' Extended Holiday Return Policy'}",679.99,Free Shipping,None
8,None,"Acer Swift 3 Intel Evo Thin & Light Laptop, 13.5"" 2256 x 1504 IPS, Intel Core i5-1135G7, Intel Iris Xe Graphics, 8GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF313-53-56UU",None,"{'Type': ' Home / Personal', 'Resolution': ' 2256 x 1504', 'Weight': ' 2.62 lbs.', 'Graphics Card': ' Intel Iris Xe Graphics', 'Model #': ' NX.A4KAA.002', 'Item #': ' 1TS-000X-03CZ4', 'Return Policy': ' Extended Holiday Return Policy'}",449.99,Free Shipping,(3 Offers)
9,Lowest price,"Dell Latitude 3000 3420 14"" Notebook - HD - 1366 x 768 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro - Intel Iris Xe Graphics -",None,"{'Type': ' Work / Business', 'Resolution': ' 1366 x 768', 'Graphics Card': ' Intel Iris Xe Graphics', 'Part Number': ' Y2YWR-NW', 'Model #': ' Y2YWR', 'Item #': ' 2WC-0009-010T2', 'Return Policy': ' Extended Holiday Return Policy'}",599.99,Free Shipping,(2 Offers)
